vehicles,Avg_Traffic_Duration,date,events,weather,temperature,hour,,
166,3.65,07-01-2023,Weekend,Rainy,26.6,17,,
366,2.25,07-01-2023,Weekend,Sunny,25.4,15,,
296,3.87,07-01-2023,Weekend,Cloudy,25.6,18,,
272,4.87,07-01-2023,Weekend,Stormy,21.1,7,,
251,4.355,07-01-2023,Weekend,Sunny,32.7,2,,
238,2.655,07-01-2023,Weekend,Sunny,27.5,16,,
354,1.12,07-01-2023,Weekend,Rainy,26.9,5,,
476,1.12,07-01-2023,Weekend,Rainy,18.8,3,,
404,4.66,07-01-2023,Weekend,Sunny,38.3,12,,
171,0.77,08-01-2023,Weekend,Rainy,20.7,13,,
397,3.595,08-01-2023,Weekend,Foggy,14.8,17,,
97,1.125,08-01-2023,Weekend,Stormy,17.3,21,,
89,1.475,08-01-2023,Weekend,Stormy,20,2,,
313,1.18,08-01-2023,Weekend,Cloudy,28.1,5,,
239,4.105,08-01-2023,Weekend,Sunny,29.4,12,,
226,3.565,08-01-2023,Weekend,Foggy,14.9,9,,
376,3.2,08-01-2023,Weekend,Foggy,13.2,14,,
315,1.835,08-01-2023,Weekend,Foggy,10.4,10,,
183,4.28,08-01-2023,Weekend,Foggy,15.5,2,,
60,4.245,08-01-2023,Weekend,Sunny,28.4,14,,
280,4.235,08-01-2023,Weekend,Stormy,19.5,10,,
365,1.155,08-01-2023,Weekend,Cloudy,24.8,2,,
354,1.925,08-01-2023,Weekend,Rainy,24.8,20,,
376,4.935,08-01-2023,Weekend,Rainy,22.3,2,,
117,2.925,08-01-2023,Weekend,Sunny,29.2,1,,
368,1.94,09-01-2023,None,Cloudy,25.4,8,,
467,3.35,09-01-2023,None,Rainy,25.7,8,,
478,1.335,09-01-2023,None,Rainy,18.6,14,,
274,1.52,09-01-2023,None,Cloudy,28.1,10,,
250,4.695,09-01-2023,None,Sunny,30.5,16,,
312,3.94,09-01-2023,None,Rainy,23.2,16,,
410,4.815,09-01-2023,None,Stormy,18.6,2,,
384,4.895,09-01-2023,None,Cloudy,23.1,9,,
384,1.67,09-01-2023,None,Sunny,27.1,9,,
138,2.03,09-01-2023,None,Foggy,15,1,,
395,3.16,10-01-2023,None,Foggy,17.3,5,,
328,3.205,10-01-2023,None,Stormy,18.2,0,,
57,0.83,10-01-2023,None,Stormy,22.4,12,,
233,1.585,10-01-2023,None,Stormy,16.2,17,,
313,4.075,10-01-2023,None,Sunny,37.9,10,,
164,1.525,10-01-2023,None,Sunny,35.7,5,,
90,2.715,10-01-2023,None,Cloudy,25.1,0,,
448,4.34,10-01-2023,None,Stormy,16.4,23,,
152,0.645,10-01-2023,None,Foggy,18.7,2,,
75,2.41,10-01-2023,None,Sunny,35.3,15,,
440,0.215,10-01-2023,None,Foggy,13.2,22,,
203,4.695,10-01-2023,None,Cloudy,28.4,15,,
442,3.765,10-01-2023,None,Rainy,21.9,20,,
74,4.885,10-01-2023,None,Cloudy,28.9,13,,
430,0.775,11-01-2023,None,Rainy,26.3,4,,
487,3.055,11-01-2023,None,Rainy,24.4,16,,
282,4.36,11-01-2023,None,Sunny,27.2,13,,
458,4.455,11-01-2023,None,Stormy,16.9,16,,
211,3.955,11-01-2023,None,Sunny,33.4,17,,
225,4.33,11-01-2023,None,Stormy,16,4,,
364,4.685,11-01-2023,None,Sunny,34.9,9,,
172,3.81,11-01-2023,None,Sunny,27.2,22,,
408,1.41,11-01-2023,None,Sunny,33.2,7,,
277,1.245,11-01-2023,None,Foggy,13.2,5,,
313,1.265,11-01-2023,None,Sunny,27,11,,
393,1.76,11-01-2023,None,Stormy,17.9,12,,
447,1.09,11-01-2023,None,Foggy,13.8,13,,
185,4.85,11-01-2023,None,Cloudy,24,11,,
62,1.58,11-01-2023,None,Cloudy,23.5,15,,
195,4.345,11-01-2023,None,Cloudy,29,23,,
156,2.35,11-01-2023,None,Stormy,18.6,16,,
289,2.69,12-01-2023,None,Cloudy,25.6,19,,
346,4.43,12-01-2023,None,Foggy,15.4,3,,
493,2.84,12-01-2023,None,Rainy,20.6,22,,
496,0.79,12-01-2023,None,Cloudy,20.4,13,,
342,3.05,12-01-2023,None,Sunny,38.1,3,,
377,2.985,12-01-2023,None,Foggy,12.3,4,,
296,1.57,12-01-2023,None,Stormy,23.3,0,,
492,4.95,12-01-2023,None,Stormy,18.2,17,,
302,1.94,12-01-2023,None,Foggy,12.7,7,,
120,3.225,12-01-2023,None,Sunny,32.6,0,,
85,1.245,12-01-2023,None,Stormy,17.9,5,,
382,2.35,12-01-2023,None,Foggy,19.2,12,,
285,2.675,12-01-2023,None,Foggy,11.8,23,,
484,0.865,13-01-2023,None,Stormy,22.2,1,,
392,3.195,13-01-2023,None,Rainy,23.2,19,,
156,2.655,13-01-2023,None,Rainy,20.7,12,,
192,1.66,13-01-2023,None,Cloudy,20.5,0,,
373,0.45,13-01-2023,None,Foggy,11.1,1,,
399,1.735,13-01-2023,None,Cloudy,28.2,6,,
463,1.525,13-01-2023,None,Foggy,19,9,,
56,3.03,13-01-2023,None,Foggy,15.5,5,,
246,4.835,13-01-2023,None,Sunny,30.7,16,,
322,2.825,13-01-2023,None,Cloudy,27.7,16,,
108,2.805,13-01-2023,None,Foggy,10.2,14,,
94,3.155,13-01-2023,None,Stormy,20.2,3,,
307,4.35,13-01-2023,None,Cloudy,29.4,12,,
484,0.61,13-01-2023,None,Rainy,18.6,2,,
382,0.67,13-01-2023,None,Sunny,32.6,13,,
477,3.665,14-01-2023,Weekend,Rainy,25.2,18,,
91,3.745,14-01-2023,Weekend,Cloudy,29.1,18,,
320,4.985,14-01-2023,Weekend,Foggy,10.8,13,,
357,2.12,14-01-2023,Weekend,Stormy,16.1,9,,
499,1.415,14-01-2023,Weekend,Foggy,16,7,,
68,0.04,14-01-2023,Weekend,Stormy,17.6,23,,
95,2.78,14-01-2023,Weekend,Sunny,25.5,12,,
356,0.405,14-01-2023,Weekend,Foggy,15.7,4,,
292,0.355,14-01-2023,Weekend,Sunny,35.3,22,,
429,2.595,14-01-2023,Weekend,Sunny,40,23,,
118,1.505,14-01-2023,Weekend,Stormy,21.4,4,,
437,4.6,14-01-2023,Weekend,Rainy,26.4,11,,
409,2.925,14-01-2023,Weekend,Foggy,18.9,17,,
108,2.475,14-01-2023,Weekend,Foggy,18,0,,
440,1.345,15-01-2023,Weekend,Rainy,19,23,,
234,1.435,15-01-2023,Weekend,Sunny,38.9,11,,
215,1.365,15-01-2023,Weekend,Foggy,17.9,0,,
273,1.945,15-01-2023,Weekend,Rainy,23.4,17,,
271,2.455,15-01-2023,Weekend,Rainy,21.4,4,,
329,3.415,15-01-2023,Weekend,Rainy,21,12,,
52,2.66,15-01-2023,Weekend,Sunny,27.9,1,,
213,3.81,15-01-2023,Weekend,Foggy,17.8,18,,
400,4.105,15-01-2023,Weekend,Stormy,20.2,10,,
496,3.76,15-01-2023,Weekend,Stormy,24,4,,
404,0.655,16-01-2023,None,Sunny,39.8,3,,
250,3.905,16-01-2023,None,Cloudy,26.3,21,,
488,2.915,16-01-2023,None,Cloudy,21.1,12,,
159,0.24,16-01-2023,None,Sunny,35.1,21,,
68,1.165,16-01-2023,None,Stormy,17.2,5,,
98,2.015,16-01-2023,None,Sunny,32,22,,
332,3.415,16-01-2023,None,Cloudy,20.4,0,,
439,1.83,16-01-2023,None,Cloudy,26.2,10,,
437,4.035,16-01-2023,None,Rainy,18.1,22,,
130,3.885,16-01-2023,None,Rainy,20.8,23,,
458,3.06,16-01-2023,None,Cloudy,28.2,4,,
125,1.135,16-01-2023,None,Sunny,31.8,14,,
428,3.565,17-01-2023,None,Foggy,14.4,6,,
215,3.645,17-01-2023,None,Sunny,38.8,19,,
459,3.995,17-01-2023,None,Foggy,12.8,9,,
283,1.245,17-01-2023,None,Sunny,32.8,7,,
171,0.155,17-01-2023,None,Cloudy,25.9,19,,
124,2.225,17-01-2023,None,Cloudy,27.7,21,,
54,1.7,17-01-2023,None,Rainy,28,22,,
257,2.775,17-01-2023,None,Sunny,29.2,14,,
333,1.74,17-01-2023,None,Rainy,27.7,4,,
254,4.675,17-01-2023,None,Sunny,27.5,13,,
124,0.04,17-01-2023,None,Foggy,19.1,15,,
129,3.46,17-01-2023,None,Foggy,19.1,8,,
344,0.465,17-01-2023,None,Foggy,11.7,15,,
350,3.005,17-01-2023,None,Stormy,22.4,14,,
445,4.715,18-01-2023,None,Stormy,20.6,15,,
385,4.305,18-01-2023,None,Sunny,31.9,20,,
264,0.145,18-01-2023,None,Stormy,16.7,14,,
394,3.59,18-01-2023,None,Cloudy,29.4,16,,
94,0.43,18-01-2023,None,Rainy,24.1,0,,
105,3.94,18-01-2023,None,Sunny,35.9,19,,
61,2.25,18-01-2023,None,Foggy,10.6,6,,
242,0.41,18-01-2023,None,Rainy,20,7,,
440,2.86,18-01-2023,None,Foggy,17.4,10,,
179,4.125,18-01-2023,None,Stormy,16.3,6,,
455,3.155,18-01-2023,None,Foggy,15,18,,
475,4.475,18-01-2023,None,Foggy,12.8,1,,
348,2.185,18-01-2023,None,Rainy,18,6,,
94,1.095,18-01-2023,None,Sunny,36.3,12,,
473,0.33,18-01-2023,None,Stormy,20.3,8,,
200,1.14,18-01-2023,None,Sunny,39,10,,
324,1.555,19-01-2023,None,Cloudy,24.6,15,,
248,2.05,19-01-2023,None,Cloudy,25.5,18,,
90,0.675,19-01-2023,None,Stormy,20.6,11,,
415,0.95,19-01-2023,None,Rainy,27.5,19,,
192,3.37,19-01-2023,None,Rainy,20.2,18,,
83,1.09,19-01-2023,None,Sunny,34.1,23,,
439,0.865,19-01-2023,None,Sunny,26.9,23,,
423,4.83,19-01-2023,None,Rainy,23.6,1,,
133,1.935,19-01-2023,None,Cloudy,29.3,0,,
466,0.375,19-01-2023,None,Stormy,21.4,23,,
392,2.03,19-01-2023,None,Foggy,19.6,14,,
318,1.65,20-01-2023,None,Rainy,22,23,,
407,4.295,20-01-2023,None,Sunny,28.9,14,,
225,3.215,20-01-2023,None,Rainy,27.1,18,,
378,3.625,20-01-2023,None,Rainy,23.4,22,,
407,2.58,20-01-2023,None,Foggy,11.3,23,,
323,2.37,20-01-2023,None,Stormy,21.5,4,,
57,4.645,20-01-2023,None,Rainy,27.1,6,,
463,1.885,20-01-2023,None,Stormy,18.2,4,,
340,0.215,20-01-2023,None,Rainy,20.1,23,,
363,1.87,20-01-2023,None,Rainy,19.6,8,,
89,1.44,20-01-2023,None,Cloudy,27.7,18,,
309,3.545,21-01-2023,Weekend,Sunny,30.3,2,,
493,3.13,21-01-2023,Weekend,Sunny,38.8,10,,
425,2.47,21-01-2023,Weekend,Cloudy,24.3,17,,
500,1.56,21-01-2023,Weekend,Stormy,18.2,8,,
411,2.8,21-01-2023,Weekend,Rainy,20.5,10,,
245,2.87,21-01-2023,Weekend,Sunny,29.5,4,,
71,3.76,21-01-2023,Weekend,Sunny,30.2,0,,
338,0.705,21-01-2023,Weekend,Foggy,14.4,14,,
262,4.76,21-01-2023,Weekend,Rainy,20.2,16,,
77,4.79,21-01-2023,Weekend,Foggy,17,5,,
106,0.14,21-01-2023,Weekend,Cloudy,29.7,7,,
341,0.3,21-01-2023,Weekend,Sunny,30.4,0,,
442,4.19,21-01-2023,Weekend,Foggy,10.5,10,,
401,4.485,22-01-2023,Weekend,Cloudy,22.7,14,,
91,2.795,22-01-2023,Weekend,Rainy,20.1,2,,
226,4.065,22-01-2023,Weekend,Rainy,21.9,6,,
236,3.765,22-01-2023,Weekend,Cloudy,24.8,23,,
72,1.59,22-01-2023,Weekend,Stormy,18.2,3,,
111,2.4,22-01-2023,Weekend,Rainy,23.7,4,,
163,0.145,22-01-2023,Weekend,Foggy,16.7,6,,
164,1.625,22-01-2023,Weekend,Rainy,22.7,18,,
73,3.955,22-01-2023,Weekend,Foggy,19.1,21,,
277,0.585,22-01-2023,Weekend,Stormy,21.3,0,,
452,4.6,22-01-2023,Weekend,Rainy,25.2,12,,
209,2.53,22-01-2023,Weekend,Rainy,26.8,21,,
418,0.955,22-01-2023,Weekend,Stormy,23.1,4,,
208,3.5,22-01-2023,Weekend,Sunny,34.3,1,,
52,3.14,22-01-2023,Weekend,Foggy,11.1,15,,
267,1.34,23-01-2023,None,Cloudy,28.9,14,,
226,0.83,23-01-2023,None,Stormy,20.8,23,,
499,4.81,23-01-2023,None,Stormy,22.9,16,,
358,2.98,23-01-2023,None,Foggy,14.1,8,,
60,3.235,23-01-2023,None,Sunny,26.8,13,,
60,4.38,23-01-2023,None,Sunny,29.8,23,,
392,1.655,23-01-2023,None,Rainy,26.4,16,,
398,1.52,23-01-2023,None,Stormy,23.9,21,,
323,1.31,23-01-2023,None,Cloudy,29.4,2,,
307,0.23,23-01-2023,None,Foggy,17.9,6,,
262,3.64,24-01-2023,None,Rainy,27.2,21,,
190,3.615,24-01-2023,None,Sunny,38.8,16,,
325,0.365,24-01-2023,None,Sunny,37.1,18,,
292,1.52,24-01-2023,None,Stormy,18.6,2,,
228,2.57,24-01-2023,None,Foggy,17.6,7,,
122,2.91,24-01-2023,None,Sunny,37.4,7,,
437,1.885,24-01-2023,None,Rainy,20.8,11,,
59,0.86,24-01-2023,None,Foggy,13.2,11,,
468,2.855,24-01-2023,None,Sunny,29.2,1,,
375,3.92,24-01-2023,None,Stormy,23.8,18,,
301,4.635,24-01-2023,None,Sunny,38.7,17,,
109,3.59,24-01-2023,None,Foggy,18.3,19,,
265,4.65,24-01-2023,None,Sunny,26.8,18,,
167,0.125,24-01-2023,None,Cloudy,27.1,22,,
313,1.76,24-01-2023,None,Sunny,27.3,2,,
77,1.89,24-01-2023,None,Foggy,10.4,17,,
256,4.995,24-01-2023,None,Foggy,18.9,10,,
181,4.51,25-01-2023,None,Rainy,20,23,,
232,0.915,25-01-2023,None,Foggy,10.8,0,,
380,3.35,25-01-2023,None,Cloudy,26.9,11,,
283,1.55,25-01-2023,None,Foggy,11.5,9,,
381,0.135,25-01-2023,None,Cloudy,27.6,19,,
145,2.55,25-01-2023,None,Stormy,21.2,7,,
351,2.78,25-01-2023,None,Foggy,11.1,5,,
188,3.205,25-01-2023,None,Sunny,28.7,9,,
56,3.21,25-01-2023,None,Cloudy,29.4,21,,
140,4.345,25-01-2023,None,Cloudy,20.5,0,,
371,3.995,25-01-2023,None,Foggy,15.8,12,,
339,3.5,25-01-2023,None,Sunny,29.5,10,,
60,1.8,25-01-2023,None,Cloudy,20.2,6,,
449,0.695,25-01-2023,None,Rainy,24.2,0,,
309,4.57,25-01-2023,None,Rainy,19.1,3,,
211,1.415,25-01-2023,None,Rainy,24.4,2,,
188,3.925,26-01-2023,Festival,Cloudy,20.8,4,,
143,0.815,26-01-2023,Festival,Stormy,21,5,,
349,2.675,26-01-2023,Festival,Cloudy,20.5,5,,
496,4.26,26-01-2023,Festival,Cloudy,28,10,,
208,4.315,26-01-2023,Festival,Sunny,27.8,2,,
397,1.245,26-01-2023,Festival,Foggy,19.9,11,,
331,3.97,26-01-2023,Festival,Sunny,36.4,14,,
217,1.15,26-01-2023,Festival,Rainy,26.2,18,,
440,0.17,26-01-2023,Festival,Rainy,18.9,9,,
333,4.775,26-01-2023,Festival,Foggy,19.5,15,,
53,4.765,26-01-2023,Festival,Rainy,20.3,14,,
184,4.535,26-01-2023,Festival,Rainy,22,0,,
142,0.25,26-01-2023,Festival,Cloudy,28.3,4,,
448,3.465,27-01-2023,None,Stormy,22.9,6,,
117,3.155,27-01-2023,None,Stormy,20.8,23,,
267,2.04,27-01-2023,None,Sunny,32.5,9,,
497,4.79,27-01-2023,None,Foggy,11.6,6,,
51,1.745,27-01-2023,None,Rainy,24.6,11,,
187,2.84,27-01-2023,None,Cloudy,21.2,18,,
497,3.77,27-01-2023,None,Sunny,26.8,12,,
383,3.675,27-01-2023,None,Sunny,37.1,22,,
262,3.705,27-01-2023,None,Rainy,24.9,13,,
245,4.23,27-01-2023,None,Sunny,37.7,21,,
495,3.075,27-01-2023,None,Cloudy,22,14,,
385,2.31,27-01-2023,None,Sunny,27.1,6,,
343,2.1,27-01-2023,None,Sunny,33.1,7,,
399,3.195,27-01-2023,None,Sunny,39.3,18,,
254,0.455,27-01-2023,None,Stormy,17.1,13,,
246,2.56,27-01-2023,None,Rainy,23.1,0,,
102,3.99,27-01-2023,None,Sunny,31.3,19,,
230,3.77,27-01-2023,None,Stormy,21.5,2,,
249,4.88,28-01-2023,Weekend,Rainy,24.3,22,,
91,1.245,28-01-2023,Weekend,Rainy,21.3,10,,
439,4.77,28-01-2023,Weekend,Foggy,13.9,5,,
227,2.15,28-01-2023,Weekend,Foggy,15.1,17,,
341,3.21,28-01-2023,Weekend,Sunny,31.5,18,,
457,4.245,28-01-2023,Weekend,Rainy,20.2,21,,
360,4.335,28-01-2023,Weekend,Cloudy,28.8,10,,
192,1.635,28-01-2023,Weekend,Sunny,26.3,9,,
282,3.455,29-01-2023,Weekend,Sunny,25.7,20,,
421,4.85,29-01-2023,Weekend,Foggy,18.9,2,,
447,1.69,29-01-2023,Weekend,Cloudy,29.6,20,,
321,1.35,29-01-2023,Weekend,Stormy,17.6,0,,
460,4.005,29-01-2023,Weekend,Cloudy,24.8,10,,
419,2.395,29-01-2023,Weekend,Sunny,25.4,6,,
226,2.77,29-01-2023,Weekend,Cloudy,26,9,,
160,0.945,29-01-2023,Weekend,Rainy,20.8,19,,
324,1.58,29-01-2023,Weekend,Foggy,13,18,,
258,2.365,29-01-2023,Weekend,Cloudy,26.2,22,,
310,4.725,29-01-2023,Weekend,Rainy,20.8,6,,
443,0.89,29-01-2023,Weekend,Stormy,18.2,16,,
262,0.85,30-01-2023,Festival,Cloudy,29.1,2,,
96,0.975,30-01-2023,Festival,Stormy,23.8,16,,
233,3.295,30-01-2023,Festival,Sunny,31.3,21,,
59,1.455,30-01-2023,Festival,Sunny,34.7,15,,
206,0.625,30-01-2023,Festival,Sunny,33.9,19,,
286,3.985,30-01-2023,Festival,Rainy,23.8,9,,
52,4.25,30-01-2023,Festival,Cloudy,29.6,5,,
483,1.76,30-01-2023,Festival,Rainy,23.5,11,,
294,0.65,30-01-2023,Festival,Cloudy,24.3,12,,
152,1.81,30-01-2023,Festival,Sunny,33.5,14,,
248,4.275,30-01-2023,Festival,Foggy,16.3,20,,
269,0.33,30-01-2023,Festival,Cloudy,23.6,18,,
335,1.85,30-01-2023,Festival,Rainy,19.6,18,,
116,4.885,30-01-2023,Festival,Sunny,29.4,19,,
318,4.555,30-01-2023,Festival,Stormy,19.1,9,,
464,1.935,31-01-2023,None,Stormy,22.8,4,,
124,3.03,31-01-2023,None,Cloudy,23.8,10,,
461,1.24,31-01-2023,None,Rainy,27.7,12,,
380,0.97,31-01-2023,None,Rainy,20.2,21,,
109,3.005,31-01-2023,None,Foggy,10,23,,
457,3.67,31-01-2023,None,Rainy,26.3,19,,
155,3.075,31-01-2023,None,Sunny,25.4,2,,
389,1.645,31-01-2023,None,Stormy,19.4,14,,
272,2.45,31-01-2023,None,Sunny,29.6,14,,
161,0.015,31-01-2023,None,Foggy,13.8,21,,
271,3.695,31-01-2023,None,Foggy,16.8,8,,
406,3.735,31-01-2023,None,Sunny,30.3,21,,
141,1.115,31-01-2023,None,Sunny,33.2,10,,
73,1.05,31-01-2023,None,Foggy,11.8,10,,
68,1.365,01-02-2023,Festival,Cloudy,24.4,10,,
261,1.85,01-02-2023,Festival,Sunny,37.3,16,,
303,0.525,01-02-2023,Festival,Cloudy,22.1,19,,
374,3.62,01-02-2023,Festival,Sunny,28.9,11,,
178,1.95,01-02-2023,Festival,Cloudy,26.8,20,,
346,1.785,01-02-2023,Festival,Rainy,27.3,5,,
483,3.32,01-02-2023,Festival,Foggy,13.3,23,,
162,2.735,01-02-2023,Festival,Sunny,27.2,18,,
277,1.79,01-02-2023,Festival,Cloudy,24.1,8,,
163,4.08,01-02-2023,Festival,Sunny,30.4,9,,
72,1.62,01-02-2023,Festival,Sunny,37.1,13,,
472,1.835,02-02-2023,None,Stormy,21.2,19,,
280,4.945,02-02-2023,None,Rainy,20.5,3,,
113,4.085,02-02-2023,None,Foggy,15.8,3,,
244,0.94,02-02-2023,None,Rainy,21.5,23,,
158,3.105,02-02-2023,None,Foggy,18.4,5,,
211,1.08,02-02-2023,None,Stormy,23.6,11,,
453,4.425,02-02-2023,None,Stormy,18.6,19,,
191,1.87,02-02-2023,None,Rainy,24.2,6,,
321,1.605,02-02-2023,None,Foggy,13.5,11,,
357,0.72,03-02-2023,None,Foggy,15.1,0,,
365,3.98,03-02-2023,None,Cloudy,20.9,14,,
195,2.38,03-02-2023,None,Sunny,34.2,22,,
140,4.245,03-02-2023,None,Cloudy,28.8,9,,
490,1.52,03-02-2023,None,Stormy,18.9,7,,
56,3.135,03-02-2023,None,Rainy,20.4,12,,
110,2.62,03-02-2023,None,Foggy,16.7,13,,
450,2.39,03-02-2023,None,Cloudy,27.4,5,,
487,1.01,03-02-2023,None,Foggy,13.3,1,,
81,0.385,03-02-2023,None,Cloudy,23.1,23,,
424,0.88,03-02-2023,None,Rainy,23.1,21,,
138,2.055,03-02-2023,None,Foggy,19.1,19,,
471,0.16,03-02-2023,None,Foggy,12.5,9,,
336,1.45,03-02-2023,None,Sunny,26.2,1,,
167,4.46,03-02-2023,None,Rainy,21.4,11,,
100,0.27,03-02-2023,None,Foggy,15.4,15,,
420,4.61,03-02-2023,None,Cloudy,20.6,17,,
272,2.76,03-02-2023,None,Foggy,11.9,20,,
193,3.785,04-02-2023,Weekend,Stormy,23.7,5,,
196,4.17,04-02-2023,Weekend,Cloudy,23.3,7,,
320,3.655,04-02-2023,Weekend,Cloudy,21.1,10,,
66,0.955,04-02-2023,Weekend,Rainy,24.9,3,,
131,1.875,04-02-2023,Weekend,Stormy,16.3,0,,
308,0.255,04-02-2023,Weekend,Rainy,23.7,9,,
335,2.805,04-02-2023,Weekend,Stormy,18.9,20,,
190,3.36,04-02-2023,Weekend,Foggy,17.4,22,,
409,1.225,04-02-2023,Weekend,Stormy,17.5,16,,
85,3.375,04-02-2023,Weekend,Sunny,25.6,7,,
350,2.31,04-02-2023,Weekend,Stormy,17.3,12,,
410,4.18,04-02-2023,Weekend,Sunny,28,18,,
163,4.69,04-02-2023,Weekend,Rainy,19.7,3,,
169,4.685,04-02-2023,Weekend,Foggy,12,21,,
144,3.945,05-02-2023,Weekend,Sunny,39.6,10,,
207,3.205,05-02-2023,Weekend,Foggy,16.9,23,,
103,3.045,05-02-2023,Weekend,Sunny,39.7,6,,
